City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,vao,80,EE,1541250417,92,59.1,26.19,48.02,12.46
1,sao joao da barra,20,BR,1541246400,65,-21.64,-41.05,80.6,16.11
2,gamba,8,CN,1541250417,56,28.28,88.52,19.9,4.85
3,vaini,64,IN,1541250418,98,15.34,74.49,73.4,2.39
4,mataura,0,NZ,1541250418,93,-46.19,168.86,43.25,12.12
5,esperance,20,TT,1541246400,70,10.24,-61.45,86.0,6.93
6,brae,92,GB,1541249400,87,60.4,-1.35,53.6,29.97
7,cape town,0,ZA,1541246400,14,-33.93,18.42,84.2,19.46
8,moron,88,VE,1541250419,95,10.49,-68.2,70.88,2.55
9,castro,92,CL,1541250378,100,-42.48,-73.76,49.42,15.14
10,la baule-escoublac,0,FR,1541248200,47,47.28,-2.4,55.4,6.93
11,aflao,20,TG,1541246400,66,6.12,1.19,87.8,11.41
12,hermanus,56,ZA,1541250420,21,-34.42,19.24,85.19,6.13
13,reconquista,32,AR,1541250420,93,-29.14,-59.64,74.84,6.13
14,arica,90,CL,1541246400,72,-18.48,-70.32,66.2,2.24
15,barrow,0,AR,1541250420,100,-38.31,-60.23,60.53,9.37
16,pevek,80,RU,1541250421,100,69.7,170.27,11.03,7.14
17,diamantino,12,BR,1541250422,83,-14.4,-56.44,80.2,7.65
18,san cristobal,75,EC,1541246400,87,-0.39,-78.55,53.6,2.24
19,desaguadero,8,PE,1541250422,46,-16.56,-69.04,41.63,3.78
20,broken hill,68,AU,1541250423,51,-31.97,141.45,68.63,9.15
21,huilong,0,CN,1541250423,66,28.89,110.18,51.22,2.39
22,chuy,0,UY,1541250424,99,-33.69,-53.46,64.13,11.05
23,kapaa,40,US,1541246160,81,22.08,-159.32,77.0,14.99
24,punta arenas,90,CL,1541246400,75,-53.16,-70.91,55.4,8.05
25,nikel,90,NO,1541249400,93,69.41,30.21,32.0,4.7
26,rikitea,88,PF,1541250426,95,-23.12,-134.97,75.02,20.07
27,dikson,12,RU,1541250427,92,73.51,80.55,23.14,14.63
28,provideniya,20,RU,1541250427,100,64.42,-173.23,36.23,15.64
29,east london,0,ZA,1541246400,60,-33.02,27.91,71.6,23.04
30,thompson,40,CA,1541248560,76,55.74,-97.86,-5.81,2.77
31,alice springs,40,AU,1541248200,26,-23.7,133.88,91.4,6.93
32,butaritari,0,KI,1541250428,100,3.07,172.79,84.65,7.87
33,hilo,90,US,1541248800,93,19.71,-155.08,71.06,4.7
34,atuona,92,PF,1541250429,100,-9.8,-139.03,80.2,12.39
35,vila,75,IT,1541247600,93,45.18,8.4,57.2,10.29
36,aklavik,5,CA,1541246400,72,68.22,-135.01,10.4,8.05
37,brzesko,75,PL,1541250000,93,49.97,20.61,53.6,8.05
38,husavik,92,CA,1541250430,100,50.56,-96.99,30.25,7.76
39,busselton,0,AU,1541250430,100,-33.64,115.35,61.43,17.2
40,saint george,20,GR,1541247600,68,39.45,22.34,68.0,11.41
41,avarua,75,CK,1541246400,94,-21.21,-159.78,77.0,4.7
42,ribeira grande,20,PT,1541248200,64,38.52,-28.7,71.6,12.75
43,hofn,92,IS,1541250431,100,64.25,-15.21,38.84,31.52
44,longyearbyen,20,NO,1541249400,67,78.22,15.63,23.0,27.51
45,dingle,36,PH,1541250432,81,11.0,122.67,81.5,12.06
46,raahe,68,FI,1541249400,86,64.68,24.47,39.2,11.41
47,macapa,75,BR,1541246400,66,0.05,-51.07,89.6,8.05
48,port alfred,0,ZA,1541250432,56,-33.59,26.89,76.46,19.17
49,airai,8,TL,1541250433,80,-8.93,125.41,71.51,1.5
50,okhotsk,64,RU,1541250433,100,59.36,143.24,17.74,14.29
51,northam,75,GB,1541249400,82,51.04,-4.21,55.4,19.46
52,cayenne,20,GF,1541248200,62,4.94,-52.33,87.8,5.82
53,maceio,40,BR,1541250000,58,-9.67,-35.74,86.0,16.11
54,upernavik,80,GL,1541250434,100,72.79,-56.15,23.95,12.12
55,askarovo,90,RU,1541248200,74,53.34,58.51,35.6,4.47
56,puerto ayora,75,EC,1541246400,77,-0.74,-90.35,69.8,3.36
57,jamestown,68,AU,1541250154,55,-33.21,138.6,59.54,3.62
58,yellowknife,90,CA,1541246400,92,62.45,-114.38,14.0,10.29
59,kieta,68,PG,1541250505,99,-6.22,155.63,79.61,4.12
60,samaipata,92,BO,1541250435,96,-18.18,-63.88,68.9,10.11
61,pilar,0,AR,1541246400,63,-34.46,-58.91,66.2,4.56
62,kati,0,ML,1541248200,19,12.75,-8.07,96.8,9.17
63,awjilah,8,LY,1541250436,42,29.14,21.3,82.76,4.79
64,umm kaddadah,0,SD,1541250437,14,13.6,26.69,95.27,4.74
65,albany,90,US,1541249460,89,42.65,-73.75,53.96,9.17
66,the valley,20,AI,1541246400,83,18.22,-63.06,82.4,10.29
67,fortuna,20,ES,1541248200,45,38.18,-1.13,66.2,4.7
68,luwingu,8,ZM,1541250439,38,-10.26,29.92,86.14,7.14
69,fier,36,AL,1541250439,61,40.73,19.56,76.24,2.84
70,sovetskaya,0,RU,1541250439,45,44.78,41.17,60.94,13.62
71,palmer,0,AU,1541248200,72,-34.85,139.16,59.0,6.93
72,bethel,1,US,1541245980,84,60.79,-161.76,21.92,11.41
73,nador,40,MA,1541248200,68,35.17,-2.93,68.0,6.93
74,carnarvon,76,ZA,1541250440,5,-30.97,22.13,85.69,14.41
75,guerrero negro,0,MX,1541250441,97,27.97,-114.04,54.23,2.84
76,taltal,32,CL,1541250442,92,-25.41,-70.49,59.36,0.72
77,bathsheba,40,BB,1541246400,74,13.22,-59.52,82.4,16.11
78,alakurtti,92,RU,1541250442,100,66.96,30.34,33.89,2.55
79,lisakovsk,0,KZ,1541250442,83,52.55,62.49,35.65,4.12
80,kavieng,8,PG,1541250442,100,-2.57,150.8,82.22,8.55
81,boguchany,76,RU,1541250443,66,58.38,97.46,25.97,9.26
82,port hawkesbury,90,CA,1541247240,100,45.62,-61.36,51.8,5.82
83,yulara,100,AU,1541246400,48,-25.24,130.99,82.4,16.11
84,mirpur khas,0,PK,1541250443,34,25.53,69.01,84.83,6.58
85,maningrida,8,AU,1541250444,69,-12.05,134.23,85.64,11.61
86,karatuzskoye,80,RU,1541250444,75,53.61,92.87,29.17,4.79
87,westlock,90,CA,1541246400,92,54.15,-113.85,28.4,8.05
88,hobart,20,AU,1541248200,50,-42.88,147.33,53.6,19.46
89,teya,75,MX,1541245740,94,21.05,-89.07,75.2,5.82
90,firminy,90,FR,1541248200,81,45.39,4.29,50.0,3.36
91,banda aceh,92,ID,1541250446,88,5.56,95.32,78.62,6.08
92,kruisfontein,0,ZA,1541250446,63,-34.0,24.73,75.56,12.28
93,makakilo city,40,US,1541247300,94,21.35,-158.09,78.98,3.36
94,nhulunbuy,0,AU,1541248200,74,-12.18,136.78,80.6,4.7
95,ushuaia,40,AR,1541246400,61,-54.81,-68.31,50.0,23.04
96,khatanga,80,RU,1541250447,82,71.98,102.47,5.72,10.11
97,behbahan,0,IR,1541246400,9,30.59,50.24,80.6,2.28
98,ahipara,92,NZ,1541250448,90,-35.17,173.16,60.94,21.97
99,khash,8,IR,1541250448,7,28.22,61.21,59.14,12.28
100,buraydah,90,SA,1541246400,93,26.33,43.97,64.4,4.7
101,los llanos de aridane,40,ES,1541248200,60,28.66,-17.92,75.2,14.99
102,kaitangata,8,NZ,1541250449,75,-46.28,169.85,45.64,18.84
103,mar del plata,0,AR,1541250449,58,-46.43,-67.52,54.5,10.94
104,kropotkin,0,RU,1541250450,47,45.43,40.58,62.69,15.3
105,constitucion,0,MX,1541250450,74,23.99,-104.67,38.66,4.23
106,port elizabeth,90,US,1541249700,76,39.31,-74.98,53.96,18.34
107,anloga,20,GH,1541246400,66,5.79,0.9,87.8,11.41
108,tuktoyaktuk,36,CA,1541250453,99,69.44,-133.03,12.29,10.56
109,tessalit,0,ML,1541250453,25,20.2,1.01,91.54,8.77
110,ostrovnoy,88,RU,1541250453,99,68.05,39.51,32.72,9.93
111,marystown,88,CA,1541250454,100,47.17,-55.16,44.96,15.14
112,miandrivazo,0,MG,1541250454,26,-19.53,45.46,91.85,9.93
113,deputatskiy,64,RU,1541250454,28,69.3,139.9,-20.52,2.77
114,bluff,0,AU,1541250454,56,-23.58,149.07,74.12,10.94
115,marawi,56,PH,1541250454,97,8.0,124.29,69.85,2.06
116,sesimbra,75,PT,1541248200,82,38.45,-9.1,60.8,9.17
117,ikovka,48,RU,1541250455,88,55.61,64.94,35.2,5.35
118,georgetown,40,GY,1541246400,94,6.8,-58.16,78.8,6.93
119,san patricio,92,PY,1541250456,100,-26.98,-56.83,70.84,3.78
120,covington,90,US,1541249760,100,35.56,-89.65,42.98,3.36
121,nizwa,0,OM,1541250456,27,22.93,57.53,86.0,1.88
122,tasiilaq,40,GL,1541249400,53,65.61,-37.64,23.0,3.36
123,grand island,90,US,1541249820,88,40.92,-98.34,42.08,10.29
124,souillac,0,FR,1541248200,66,45.6,-0.6,53.6,10.29
125,victoria,75,BN,1541248200,83,5.28,115.24,84.2,8.05
126,green river,75,US,1541246040,75,41.53,-109.47,30.92,11.41
127,kalmunai,92,LK,1541250458,100,7.42,81.82,76.1,4.56
128,adrar,0,DZ,1541246400,29,27.87,-0.29,75.2,11.41
129,khandyga,56,RU,1541250459,80,62.65,135.58,10.13,6.76
130,talnakh,76,RU,1541250459,80,69.49,88.39,1.27,4.74
131,dolores,68,AR,1541250460,100,-36.31,-57.68,59.77,7.31
132,bilma,8,NE,1541250460,16,18.69,12.92,94.69,7.02
133,atbasar,80,KZ,1541250460,85,51.81,68.36,33.49,4.9
134,beringovskiy,88,RU,1541250460,100,63.05,179.32,31.64,9.44
135,evensk,76,RU,1541250461,100,61.92,159.24,12.65,12.28
136,kaeo,92,NZ,1541250461,82,-35.1,173.78,60.67,18.84
137,tanabe,56,JP,1541250461,81,33.73,135.39,55.9,4.63
138,teguldet,80,RU,1541250461,78,57.31,88.17,28.72,7.65
139,juiz de fora,56,BR,1541250462,97,-21.76,-43.35,71.29,6.35
140,tagusao,20,PH,1541250462,93,9.19,117.81,81.37,6.13
141,samarai,56,PG,1541250462,100,-10.62,150.67,78.67,12.62
142,arraial do cabo,0,BR,1541246400,65,-22.97,-42.02,82.4,17.22
143,dongying,8,CN,1541250463,71,37.43,118.67,54.37,12.06
144,aswan,0,EG,1541246400,19,24.09,32.9,89.6,9.17
145,lebu,20,ET,1541246400,36,8.96,38.73,75.2,9.17
146,saldanha,0,PT,1541250463,63,41.42,-6.55,56.75,4.0
147,iwanai,0,JP,1541250463,97,42.97,140.51,55.22,16.93
148,nebolchi,92,RU,1541250464,97,59.12,33.35,48.83,6.91
149,hithadhoo,92,MV,1541250464,100,-0.6,73.08,82.13,7.92
150,tudor vladimirescu,8,RO,1541250464,72,45.56,27.65,62.6,4.74
151,mount gambier,88,AU,1541250465,71,-37.83,140.78,55.9,3.11
152,ponta do sol,0,BR,1541250465,78,-20.63,-46.0,75.34,13.4
153,kikwit,100,CD,1541250465,92,-5.04,18.82,75.65,6.02
154,lavrentiya,8,RU,1541250465,100,65.58,-170.99,37.4,23.09
155,harer,0,US,1541250465,68,42.19,-111.17,28.49,6.8
156,petropavlovsk-kamchatskiy,64,RU,1541246400,98,53.05,158.65,32.0,2.24
157,pingliang,76,CN,1541250466,60,35.54,106.68,39.52,6.91
158,kavaratti,92,IN,1541250466,100,10.57,72.64,77.5,8.66
159,iqaluit,75,CA,1541246400,78,63.75,-68.52,12.2,2.24
160,peniche,75,PT,1541248200,82,39.36,-9.38,59.0,9.17
161,bambous virieux,75,MU,1541246400,65,-20.34,57.76,80.6,14.99
162,ayni,68,TJ,1541250467,90,39.39,68.54,26.6,2.1
163,roma,75,IT,1541247600,77,41.89,12.48,69.8,9.17
164,linqiong,0,CN,1541246400,52,30.42,103.46,66.2,4.47
165,namatanai,92,PG,1541250468,100,-3.66,152.44,83.57,9.1
166,narsaq,75,GL,1541249400,68,60.91,-46.05,24.8,3.36
167,norman wells,75,CA,1541246400,84,65.28,-126.83,1.4,3.36
168,sorong,32,ID,1541250469,100,-0.86,131.25,82.76,8.03
169,pacific grove,1,US,1541248500,70,36.62,-121.92,50.0,3.74
170,banes,20,CU,1541245800,100,20.96,-75.72,71.6,1.12
171,huarmey,12,PE,1541250470,76,-10.07,-78.15,62.6,3.11
172,sakaraha,20,MG,1541250470,48,-22.91,44.53,81.41,10.94
173,sitka,76,US,1541250470,80,37.17,-99.65,41.5,3.89
174,chokurdakh,68,RU,1541250471,63,70.62,147.9,-7.69,3.29
175,renukut,68,IN,1541250471,54,24.22,83.04,80.69,2.89
176,saint-philippe,90,CA,1541248500,100,45.36,-73.48,41.0,5.82
177,sao felix do xingu,0,BR,1541250471,87,-6.64,-51.99,81.5,2.1
178,blagoyevo,92,RU,1541250471,98,63.37,47.92,33.98,5.53
179,kargasok,68,RU,1541250472,70,59.06,80.87,17.2,7.81
180,matamoros,1,US,1541249580,89,25.87,-97.51,62.96,5.82
181,saskylakh,80,RU,1541250472,82,71.97,114.09,0.77,3.29
182,waitati,12,NZ,1541250472,66,-45.75,170.57,45.68,10.56
183,cherskiy,20,RU,1541250473,70,68.75,161.3,-5.44,2.51
184,new norfolk,20,AU,1541248200,50,-42.78,147.06,53.6,19.46
185,mumford,68,GH,1541250473,91,5.26,-0.76,82.27,7.92
186,sawakin,20,SD,1541250473,65,19.1,37.33,87.26,3.51
187,yerbogachen,68,RU,1541250473,60,61.28,108.01,16.43,10.6
188,bredasdorp,92,ZA,1541246400,34,-34.53,20.04,82.4,6.93
189,arlit,0,NE,1541250334,18,18.74,7.39,96.89,9.78
190,galveston,1,US,1541248500,82,40.58,-86.19,35.6,4.7
191,ornskoldsvik,0,SE,1541249400,100,63.29,18.72,42.8,13.87
192,maple creek,76,CA,1541250474,98,49.91,-109.46,28.94,3.89
193,kahului,1,US,1541246040,79,20.89,-156.47,77.0,13.87
194,maun,0,BW,1541246400,33,-19.99,23.42,91.4,9.17
195,mirabad,8,IR,1541250475,7,28.27,61.33,59.14,12.28
196,gigmoto,80,PH,1541250475,100,13.78,124.39,81.32,10.45
197,turbat,12,PK,1541250476,8,26.0,63.05,80.42,18.43
198,van,75,TR,1541245800,91,38.51,43.37,57.2,9.17
199,caravelas,12,BR,1541250477,100,-17.73,-39.27,77.9,10.94
200,manggar,80,ID,1541250477,100,-2.88,108.27,76.87,2.77
201,sokoni,48,CD,1541250477,36,-12.89,28.78,88.16,6.08
202,nanzhang,0,CN,1541250478,70,31.78,111.84,51.67,2.06
203,qaanaaq,0,GL,1541250478,100,77.48,-69.36,0.68,11.27
204,grindavik,75,IS,1541248200,74,63.84,-22.43,33.8,27.51
205,boyabat,0,TR,1541250478,49,41.47,34.77,59.99,3.11
206,bireun,64,ID,1541250478,100,5.2,96.7,79.88,10.04
207,elizabeth city,1,US,1541249940,63,36.3,-76.22,58.28,21.92
208,nouakchott,0,MR,1541250479,87,18.08,-15.98,75.7,9.78
209,vardo,75,US,1541249400,71,39.62,-77.74,51.8,10.33
210,villarrica,8,CL,1541250479,90,-39.28,-72.23,48.52,4.23
211,grand-lahou,80,CI,1541250479,77,5.24,-5.0,84.79,6.64
212,vilnius,90,LT,1541247600,87,54.69,25.28,51.8,4.7
213,madera,1,US,1541248500,81,36.96,-120.06,53.96,3.36
214,neiafu,40,TO,1541246400,56,-18.65,-173.98,69.8,9.17
215,tyrma,56,RU,1541250480,65,50.04,132.17,26.24,7.54
216,brooks,68,CA,1541250481,92,50.57,-111.89,25.07,4.07
217,hasaki,40,JP,1541248200,87,35.73,140.83,53.6,1.12
218,prado,80,BR,1541250351,97,-17.34,-39.22,77.95,10.83
219,ladario,12,PT,1541250482,93,40.7,-7.74,52.97,3.33
220,clyde river,90,CA,1541246400,77,70.47,-68.59,5.0,10.29
221,klyuchi,88,RU,1541250483,95,52.25,79.17,32.99,9.66
222,kapuskasing,90,CA,1541246400,74,49.42,-82.43,30.2,4.7
223,amuntai,36,ID,1541250483,97,-2.42,115.25,76.19,1.1
224,tambovka,0,UA,1541250484,55,46.93,35.45,57.92,9.82
225,tateyama,20,JP,1541246400,76,36.66,137.31,53.6,4.7
226,nishihara,1,JP,1541249760,77,35.74,139.53,64.4,2.73
227,hualmay,24,PE,1541250485,86,-11.1,-77.61,62.87,4.07
228,iberia,8,PE,1541250485,76,-11.41,-69.49,81.59,4.41
229,de panne,68,BE,1541249700,61,51.1,2.59,50.0,10.29
230,locri,40,IT,1541246100,53,38.24,16.26,77.0,11.41
231,seymchan,80,RU,1541250486,96,62.93,152.39,5.27,4.85
232,ballina,75,IE,1541248200,93,54.11,-9.15,50.0,19.46
233,kalanguy,0,RU,1541250486,61,51.01,116.52,-0.31,4.12
234,kodiak,90,US,1541249580,96,39.95,-94.76,44.96,6.87
235,beloha,100,MG,1541250487,77,-25.17,45.06,69.71,17.49
